Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Albania,ALB,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Algeria,DZA,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
American Samoa,ASM,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Andorra,AND,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Angola,AGO,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Antigua and Barbuda,ATG,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,..
Argentina,ARG,"Compulsory education, duration (years)",SE.COM.DURS,14,14,14,14,14,..
Armenia,ARM,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Aruba,ABW,"Compulsory education, duration (years)",SE.COM.DURS,13,13,13,13,13,..
Australia,AUS,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,..
Austria,AUT,"Compulsory education, duration (years)",SE.COM.DURS,13,13,13,13,13,..
Azerbaijan,AZE,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,9,..
"Bahamas, The",BHS,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Bahrain,BHR,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Bangladesh,BGD,"Compulsory education, duration (years)",SE.COM.DURS,5,5,5,5,5,..
Barbados,BRB,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,..
Belarus,BLR,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,11,11,..
Belgium,BEL,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Belize,BLZ,"Compulsory education, duration (years)",SE.COM.DURS,8,8,8,8,8,..
Benin,BEN,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
Bermuda,BMU,"Compulsory education, duration (years)",SE.COM.DURS,13,13,13,13,13,..
Bhutan,BTN,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Bolivia,BOL,"Compulsory education, duration (years)",SE.COM.DURS,14,14,14,14,14,..
Bosnia and Herzegovina,BIH,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Botswana,BWA,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Brazil,BRA,"Compulsory education, duration (years)",SE.COM.DURS,14,14,14,14,14,..
British Virgin Islands,VGB,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Brunei Darussalam,BRN,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Bulgaria,BGR,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,..
Burkina Faso,BFA,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Burundi,BDI,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Cabo Verde,CPV,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Cambodia,KHM,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Cameroon,CMR,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
Canada,CAN,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Cayman Islands,CYM,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Central African Republic,CAF,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Chad,TCD,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Channel Islands,CHI,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Chile,CHL,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
China,CHN,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Colombia,COL,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Comoros,COM,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
"Congo, Dem. Rep.",COD,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
"Congo, Rep.",COG,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Costa Rica,CRI,"Compulsory education, duration (years)",SE.COM.DURS,13,13,13,13,13,..
Cote d'Ivoire,CIV,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Croatia,HRV,"Compulsory education, duration (years)",SE.COM.DURS,8,8,8,8,8,..
Cuba,CUB,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Curacao,CUW,"Compulsory education, duration (years)",SE.COM.DURS,14,14,14,14,14,..
Cyprus,CYP,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Czechia,CZE,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Denmark,DNK,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Djibouti,DJI,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
