Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,59.9006163469942,61.3286907992579,62.2155405301811,..,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,103.571131386861,102.615547445255,101.375510948905,..,..
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,18.4915534476671,18.7934368178572,19.0941790060296,..,..
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,248.805,246.125,241.71,..,..
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,164.63829787234,166.731914893617,169.585106382979,..,..
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,26.8317413972888,27.6990687414775,28.5834835966953,..,..
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,208.740909090909,209.884090909091,211,..,..
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.5133665121004,16.5573305708721,16.5922716858687,..,..
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,104.021777309449,104.049877063576,104.292237442922,..,..
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,603.261111111111,598.333333333333,596.166666666667,..,..
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.33452695130798,3.33922844714392,3.38199835673854,..,..
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,108.057004362579,108.528805138148,109.571631119729,..,..
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,122.124736829369,122.658802177858,122.707271627344,..,..
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,39.5467532467532,39.5977022977023,39.7140859140859,..,..
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1875.41910828025,1904.25949367089,1929.99113924051,..,..
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1277.54493354844,1287.99918568026,1301.25909963893,..,..
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,655.111627906977,656.155813953488,656.553488372093,..,..
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.211212927382,45.8368317319537,45.4607172767131,..,..
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,378.38932248967,379.949990161999,383.033055683085,..,..
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,17.1333625602806,17.3321350284963,17.6559842174485,..,..
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,115.911395885066,118.955454061724,122.024663001064,..,..
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1192.25925925926,1197.18518518519,1199.05555555556,..,..
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,20.1889355007866,20.3314630309386,20.4749344520189,..,..
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,10.9076885442629,11.0194405981723,11.1484851841595,..,..
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,64.44041015625,63.37708984375,62.5937890625,..,..
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,4.17464048135797,4.23736347114146,4.30521059411007,..,..
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,24.9649852718428,25.0714027283582,25.161867951482,..,..
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,247.566666666667,252.06,255.46,..,..
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,84.896394686907,85.715559772296,86.4079696394687,..,..
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,63.8726510685335,63.3543017686072,61.1949521002211,..,..
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,78.5039839181287,80.3919700292398,82.2698757309942,..,..
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,491.317601246106,504.886331775701,518.734306853583,..,..
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,127.711910669975,128.200744416873,128.967990074442,..,..
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,94.7511556764106,96.160803308407,97.4491502379334,..,..
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,55.4474371178947,56.9392608576083,58.4560745488777,..,..
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,4.24162135453439,4.351026204103,4.43058199733749,..,..
