Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Net migration,SM.POP.NETM,9159,143634,-548784,-647402,-48958,-44089
Albania,ALB,Net migration,SM.POP.NETM,-23094,-16680,-32848,-16426,-25357,-24472
Algeria,DZA,Net migration,SM.POP.NETM,-27786,-10798,-10803,-14684,-25963,-31240
American Samoa,ASM,Net migration,SM.POP.NETM,-1212,-653,-1333,-1305,-1159,-1110
Andorra,AND,Net migration,SM.POP.NETM,1245,572,1514,1102,1061,988
Angola,AGO,Net migration,SM.POP.NETM,58984,7556,29094,-995,-995,-2629
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,0,0,0,0,0,9
Argentina,ARG,Net migration,SM.POP.NETM,5397,292,314,5589,4133,3454
Armenia,ARM,Net migration,SM.POP.NETM,-14330,-13046,-19457,38001,75000,-29966
Aruba,ABW,Net migration,SM.POP.NETM,420,0,503,152,147,141
Australia,AUS,Net migration,SM.POP.NETM,207142,44447,116768,140972,140232,138510
Austria,AUT,Net migration,SM.POP.NETM,41090,39601,52150,157365,4819,8813
Azerbaijan,AZE,Net migration,SM.POP.NETM,384,1073,1073,9086,-84122,10864
"Bahamas, The",BHS,Net migration,SM.POP.NETM,1002,0,481,1001,1001,1018
Bahrain,BHR,Net migration,SM.POP.NETM,-31967,-5048,11882,18975,20002,22699
Bangladesh,BGD,Net migration,SM.POP.NETM,-1016796,-1002522,-994722,-549990,-549918,-473362
Barbados,BRB,Net migration,SM.POP.NETM,-65,0,-28,-80,-80,-70
Belarus,BLR,Net migration,SM.POP.NETM,-33954,-33954,-33954,-8000,-3034,-3119
Belgium,BEL,Net migration,SM.POP.NETM,58469,43777,24017,118615,41679,36243
Belize,BLZ,Net migration,SM.POP.NETM,-606,64,-173,5936,595,490
Benin,BEN,Net migration,SM.POP.NETM,3366,1729,1729,-192,-192,-7725
Bermuda,BMU,Net migration,SM.POP.NETM,286,286,286,0,0,-5
Bhutan,BTN,Net migration,SM.POP.NETM,287,287,287,291,291,-277
Bolivia,BOL,Net migration,SM.POP.NETM,-8981,-4663,-4663,-3008,-3008,-3000
Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,-27841,-26840,-25865,-485,-485,-4497
Botswana,BWA,Net migration,SM.POP.NETM,-11770,-11330,-4083,-7306,-6487,-5778
Brazil,BRA,Net migration,SM.POP.NETM,-129216,-78437,-208581,-253639,-240059,-225510
British Virgin Islands,VGB,Net migration,SM.POP.NETM,419,888,326,550,587,212
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,456,462,0,0,0,0
Bulgaria,BGR,Net migration,SM.POP.NETM,-2156,30167,11756,26498,5173,524
Burkina Faso,BFA,Net migration,SM.POP.NETM,-25240,-5661,-13079,-24960,-24957,-25807
Burundi,BDI,Net migration,SM.POP.NETM,14253,-10189,-14415,1995,1995,-27074
Cabo Verde,CPV,Net migration,SM.POP.NETM,-4001,-3362,0,-1253,-1226,-1209
Cambodia,KHM,Net migration,SM.POP.NETM,-57268,0,-27025,-31350,-31837,-32960
Cameroon,CMR,Net migration,SM.POP.NETM,-12255,-9888,-9888,-4798,-4798,-13892
Canada,CAN,Net migration,SM.POP.NETM,387685,256592,198867,459988,433842,368599
Cayman Islands,CYM,Net migration,SM.POP.NETM,859,810,965,942,921,896
Central African Republic,CAF,Net migration,SM.POP.NETM,-36849,-24745,-85646,-17430,-14682,-15357
Chad,TCD,Net migration,SM.POP.NETM,-29451,36605,74509,36670,496830,204040
Channel Islands,CHI,Net migration,SM.POP.NETM,900,858,933,820,860,747
Chile,CHL,Net migration,SM.POP.NETM,181339,26042,65480,59374,62679,58316
China,CHN,Net migration,SM.POP.NETM,-656091,-91577,-379749,-293846,-567724,-318992
Colombia,COL,Net migration,SM.POP.NETM,396826,227130,199070,183180,154521,141643
Comoros,COM,Net migration,SM.POP.NETM,-2916,-1766,-1766,-2002,-2002,-2051
"Congo, Dem. Rep.",COD,Net migration,SM.POP.NETM,-144920,-1633,-64639,-14991,-14992,-26968
"Congo, Rep.",COG,Net migration,SM.POP.NETM,-6268,-4472,-4476,-995,-995,-2491
Costa Rica,CRI,Net migration,SM.POP.NETM,1653,1029,1018,1006,995,967
Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,2043,-12390,1322,26777,6002,7838
Croatia,HRV,Net migration,SM.POP.NETM,-13239,-8552,-4517,11681,10202,-5186
Cuba,CUB,Net migration,SM.POP.NETM,-23955,-11976,-11976,-23149,-22797,-22356
Curacao,CUW,Net migration,SM.POP.NETM,-9595,992,503,518,518,513
Cyprus,CYP,Net migration,SM.POP.NETM,9983,9653,9341,9014,8697,8138
Czechia,CZE,Net migration,SM.POP.NETM,5553,4336,4111,329739,-14638,-86169
Denmark,DNK,Net migration,SM.POP.NETM,9488,10851,26887,60219,31006,25639
Djibouti,DJI,Net migration,SM.POP.NETM,1322,1300,1300,500,500,-11
Dominica,DMA,Net migration,SM.POP.NETM,-228,-225,-224,-202,-199,-200
Dominican Republic,DOM,Net migration,SM.POP.NETM,-35797,-17957,-17957,-35153,-34915,-34806
Ecuador,ECU,Net migration,SM.POP.NETM,54921,-10320,-28503,-23090,-21948,-19704
"Egypt, Arab Rep.",EGY,Net migration,SM.POP.NETM,7050,6016,6161,13707,305006,123884
El Salvador,SLV,Net migration,SM.POP.NETM,-55144,-25213,-27343,-23255,-23253,-23102
Equatorial Guinea,GNQ,Net migration,SM.POP.NETM,14695,0,6493,3997,3997,3891
Eritrea,ERI,Net migration,SM.POP.NETM,-29818,-14967,-14966,-17134,-15284,-12696
Estonia,EST,Net migration,SM.POP.NETM,5386,3694,7043,39754,5717,-7742
Eswatini,SWZ,Net migration,SM.POP.NETM,-8439,-4242,-4242,-8549,-8549,-6754
Ethiopia,ETH,Net migration,SM.POP.NETM,-10807,38866,-1377,-11996,-11996,30069
Faroe Islands,FRO,Net migration,SM.POP.NETM,670,548,662,614,599,488
Fiji,FJI,Net migration,SM.POP.NETM,-11873,-6008,-6008,-3557,-3289,-3278
Finland,FIN,Net migration,SM.POP.NETM,15671,17504,22484,60353,38156,26894
France,FRA,Net migration,SM.POP.NETM,71972,145593,131465,179377,91862,90527
French Polynesia,PYF,Net migration,SM.POP.NETM,-2816,-1443,-1348,-1348,-1348,-1261
Gabon,GAB,Net migration,SM.POP.NETM,2233,1506,1503,987,987,1105
