"ref_area.label","source.label","indicator.label","time","obs_value","note_indicator.label","note_source.label"
"Afghanistan","ADM-RWO - Records of Unions of Afghanistan","Trade union density rate (%)","2019",16.767,,
"Afghanistan","ADM-RWO - Records of Unions of Afghanistan","Trade union density rate (%)","2012",9.362,,
"Albania","ADM - Administrative records and related sources","Trade union density rate (%)","2017",36.847,,
"Albania","ADM - Administrative records and related sources","Trade union density rate (%)","2013",48.698,,
"Albania","ADM - Administrative records and related sources","Trade union density rate (%)","2012",48.204,,
"Albania","ADM - Administrative records and related sources","Trade union density rate (%)","2011",49.9,,
"Albania","ADM - Administrative records and related sources","Trade union density rate (%)","2009",49.496,,
"Albania","ADM - Administrative records and related sources","Trade union density rate (%)","2008",52.406,,
"Argentina","ADM - Administrative records and related sources","Trade union density rate (%)","2014",27.7,,
"Argentina","ADM - Administrative records and related sources","Trade union density rate (%)","2013",30.4,,
"Argentina","ADM - Administrative records and related sources","Trade union density rate (%)","2012",30,,
"Argentina","ADM - Administrative records and related sources","Trade union density rate (%)","2011",31.8,,
"Argentina","ADM - Administrative records and related sources","Trade union density rate (%)","2010",30.1,,
"Argentina","ADM - Administrative records and related sources","Trade union density rate (%)","2009",31.9,,
"Argentina","ADM - Administrative records and related sources","Trade union density rate (%)","2008",30.7,,
"Argentina","ADM - Administrative records and related sources","Trade union density rate (%)","2005",37,,
"Argentina","ADM - Administrative records and related sources","Trade union density rate (%)","2001",42,,
"Argentina","ADM - Administrative records and related sources","Trade union density rate (%)","2000",43.842,,
"Armenia","LFS - Household Labour Force Survey","Trade union density rate (%)","2019",20.55,,
"Armenia","LFS - Household Labour Force Survey","Trade union density rate (%)","2018",23.396,,
"Armenia","LFS - Household Labour Force Survey","Trade union density rate (%)","2017",22.676,,
"Armenia","LFS - Household Labour Force Survey","Trade union density rate (%)","2016",23.194,,
"Armenia","LFS - Household Labour Force Survey","Trade union density rate (%)","2015",24.805,,
"Armenia","LFS - Household Labour Force Survey","Trade union density rate (%)","2014",23.781,,
"Armenia","ADM-RWO - Records from branch republican Unions","Trade union density rate (%)","2013",33.9,,
"Armenia","ADM-RWO - Records from branch republican Unions","Trade union density rate (%)","2012",35.2,,
"Armenia","ADM-RWO - Records from branch republican Unions","Trade union density rate (%)","2011",36.6,,
"Armenia","ADM-RWO - Records from branch republican Unions","Trade union density rate (%)","2010",35.801,,
"Armenia","ADM-RWO - Records from branch republican Unions","Trade union density rate (%)","2009",38.351,,
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2018",13.656,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2016",14.555,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2015",16.63,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2014",16.347,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2013",18.22,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2012",19.572,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2011",19.72,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2010",19.691,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2009",20.924,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2008",19.994,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2007",19.954,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2006",21.799,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2005",24.007,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2004",24.047,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2003",24.711,"Trade union membership coverage: Adjusted for the right to unionize",
