"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
194,"i271pop","At least 2G",,"%",4,"ABW","Aruba","90",2005,"","","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",4,"ABW","Aruba","99",2006,"","","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",4,"ABW","Aruba","99",2007,"","","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",4,"ABW","Aruba","99",2008,"","","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",4,"ABW","Aruba","99",2015,"","ITU estimate","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",4,"ABW","Aruba","99",2019,"","ITU estimate.","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",4,"ABW","Aruba","99",2020,"","ITU estimate.","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",4,"ABW","Aruba","99",2021,"","ITU estimate.","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",4,"ABW","Aruba","99",2022,"","ITU estimate.","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",6,"AFG","Afghanistan","72",2007,"","Ministry of Communications & Information Technology","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",6,"AFG","Afghanistan","75",2008,"","Ministry of Communications & Information Technology","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",6,"AFG","Afghanistan","80",2009,"","ITU estimate.","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",6,"AFG","Afghanistan","80",2010,"","ITU estimate.","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
194,"i271pop","At least 2G",,"%",6,"AFG","Afghanistan","85",2011,"","Ministry of Communications & Information Technology","Refers to the percentage of inhabitants within range of a mobile-cellular signal, irrespective of whether or not they are subscribers or users"
