Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,415.707417059086
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,8575.17113446213
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,5364.02795022731
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,46812.4484486309
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2308.15976731274
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,21787.1017315914
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,14187.4827252965
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,8053.01066312345
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,33984.7906198041
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,64820.9117890026
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,56033.573792065
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,7125.90858368611
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,35896.50510715
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,29218.8605634137
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2551.01772674142
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,23804.0249914995
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7829.05313660622
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,54700.9093236712
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,7459.99815132837
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1394.37330217623
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,125841.602522489
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3686.27996490544
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,8638.66620201187
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7820.23240375076
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,10294.866680778
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,32962.9065121916
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,15885.5391311331
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,882.689810086163
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,193.007145564804
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,4850.98415849643
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2429.74853452838
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1736.86091073524
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,53431.1857063879
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,97749.5078960846
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,495.978897153068
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,680.639877912029
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,74589.1380225191
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,17067.8136150601
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,12614.0617416421
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6947.35928681966
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1590.31237688317
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,627.502181690836
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2477.97845544866
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,16942.0268119375
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2530.84659301723
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,21865.4562838641
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,22192.4453028535
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,36551.41796875
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,31591.1770732969
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,68453.8769281145
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3554.83918868372
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,9832.99643050057
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,10717.6276712204
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6609.80408154957
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3457.45691570455
