Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7,97.7,97.7,85.3,85.3,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5,99.7,99.8,100,100,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,45.6,47,48.2,48.5,51.1,..
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,99.9,100,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.2,96.2,99,99.4,99.5,..
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.7,96.8,97.7,98.6,99.6,..
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,40,41,42,56.5,57,..
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.1,97.2,98.6,99.9,99.8,..
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,70.1,71.8,73.7,75.9,76,..
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8,99.7,99.5,100,99.8,..
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2,99.7,99.8,100,100,..
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.6,18.5,19,19.5,21.7,..
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,9.8,9.1,10.2,10.3,11.6,..
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.4,93.7,95.5,97.1,98.6,..
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,84,86.4,82.5,92.3,95,..
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,63.2,64.3,65.4,71,72,..
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.3,15.4,15.7,15.7,17.6,..
Chad,TCD,Access to electricity (% of population),EG.ELC.ACCS.ZS,8.4,10.9,11.3,11.7,12,..
Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4,99.7,100,100,98.7,..
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,83.3,85.6,87.9,89.9,89.8,..
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,19.1,20.1,20.8,21.5,22.1,..
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,47.7,48.7,49.7,50.6,51.3,..
Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.9,100,100,100,..
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,68.6,69.9,71.1,72,72.4,..
Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8,99.9,100,100,100,..
Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Czechia,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.7,64.5,65.4,65,65.2,..
Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,100,100,..
Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,99,100,98.1,98.1,99.6,..
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.1,98.9,100,100,98.7,..
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
El Salvador,SLV,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.4,99.7,97.9,100,98.3,..
Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,66.6,66.7,66.8,67,66.9,..
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.3,51.4,52.5,53.4,54.4,..
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,..
Eswatini,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,77,80,82.9,82.3,86.4,..
