Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,9.99636656471743,10.0529364335684,10.0967896494561,10.1274951863614,10.1392137804113,..
Afghanistan,AFG,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,9.84623360830858,9.89554982174012,9.93088406979404,9.94513451537263,9.9318712387698,..
Albania,ALB,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.57661103132753,8.29745044784866,7.98060801423327,7.65755038200859,7.39872434050821,..
Albania,ALB,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.22159323549833,7.87427087850308,7.48468208955535,7.09295402566637,6.79501009637012,..
Algeria,DZA,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,7.15785909199157,6.78063360090692,6.48616176132555,6.24757749589292,6.14830600969216,..
Algeria,DZA,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.02836619249464,6.70711145650172,6.46201688511638,6.27041867398259,6.1857703240964,..
American Samoa,ASM,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,6.78559487048365,6.77592371871275,7.05560912889746,7.39474815284799,7.83284378059705,..
American Samoa,ASM,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,6.87644982349975,6.76453246040298,6.92155976496692,7.12822014051522,7.39386466549034,..
Andorra,AND,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,5.71637821377636,5.83456050373229,5.86096149760688,5.82575441865026,5.76727765149683,..
Andorra,AND,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,5.10796347080593,5.26793704269095,5.36333533230777,5.56512129934211,5.69971140701737,..
Angola,AGO,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.46022894694552,8.43151741194344,8.42673300162147,8.45078465041377,8.50015042606051,..
Angola,AGO,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.35866973891105,8.3300653389937,8.32368784806352,8.34479058283918,8.38908810625641,..
Antigua and Barbuda,ATG,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.36979550478998,8.24182744604111,8.1114311410649,7.90695041883631,7.7227076202486,..
Antigua and Barbuda,ATG,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.52406679251974,7.36428074763639,7.21461092928897,7.01150606122868,6.84557583192762,..
Argentina,ARG,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.02001738098349,7.95347680719421,7.9116754229614,7.8843668893626,7.85298144537825,..
Argentina,ARG,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.56819142819528,7.50453178573436,7.4602679278878,7.43104418447365,7.40150679013216,..
Armenia,ARM,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,6.78539631313726,6.51808729941973,6.30753809262729,6.26674083297662,6.46303244607884,..
Armenia,ARM,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,5.70860757233975,5.5103790229067,5.41307881681585,5.43855900908603,5.63272328614339,..
Aruba,ABW,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,5.76725229503007,5.71817831791571,5.93690559492249,6.24005031347654,6.53883876029816,..
Aruba,ABW,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,4.96090709686549,4.7907673332746,4.88257705743121,5.10447971037416,5.37145465558257,..
Australia,AUS,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,7.08274681314034,6.87980996032959,6.65428898363564,6.48802237672687,6.34158676292592,..
Australia,AUS,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,6.61078644126368,6.38907583686924,6.16610926542712,6.01513744200699,5.89201167498539,..
Austria,AUT,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,6.17504200823694,6.00274932300741,5.82690918124132,5.63099156578091,5.44641953166809,..
Austria,AUT,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,5.6402624996191,5.48813307608491,5.32513234456491,5.14780745657099,4.98503794112407,..
Azerbaijan,AZE,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,7.54452917971786,7.15246363495261,6.83020378580577,6.61912522302407,6.53512664317895,..
Azerbaijan,AZE,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.38580983137571,6.87606977031672,6.4370894686501,6.09844528271719,5.89464922665866,..
"Bahamas, The",BHS,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.27198606823399,8.05683709368219,7.83967859897798,7.63944008452348,7.45540402863152,..
"Bahamas, The",BHS,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.80584805012197,7.58156481128618,7.34810817879969,7.14197847999595,6.95768515143959,..
Bahrain,BHR,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,6.78842511898273,7.50346548528156,8.17355376782635,7.57253939032661,6.87564046053121,..
Bahrain,BHR,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.53313018212742,7.9689389656579,8.40461007634979,7.47028323848607,6.63674742007395,..
Bangladesh,BGD,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,9.23791299865122,9.03238534141902,8.75891364615007,8.60874110657517,8.64812879998605,..
