X Variable,Y Variable,Correlation,P-Value
Control of Corruption: Estimate,Rule of Law: Estimate,0.9428341463715826,7.916957593691944e-99
Government Effectiveness: Estimate,Rule of Law: Estimate,0.936020624074909,5.134470320178148e-94
Government Effectiveness: Estimate,Regulatory Quality: Estimate,0.92191067416344,1.5120619909730145e-85
Government Effectiveness: Estimate,Control of Corruption: Estimate,0.913275832719441,4.057736166085321e-81
Regulatory Quality: Estimate,Rule of Law: Estimate,0.9060976263100429,8.941806007217348e-78
Regulatory Quality: Estimate,Control of Corruption: Estimate,0.8552997756024319,7.021330302465653e-60
Rule of Law: Estimate,Voice and Accountability: Estimate,0.7995182174451233,7.991056994427714e-47
Individuals using the Internet (% of population),Government Effectiveness: Estimate,0.7979098843121405,1.6453991851716961e-46
Control of Corruption: Estimate,Voice and Accountability: Estimate,0.7840383888802254,6.437963036663316e-44
Regulatory Quality: Estimate,Voice and Accountability: Estimate,0.7569200974868601,2.3062158564430092e-39
Individuals using the Internet (% of population),Regulatory Quality: Estimate,0.7540358129057909,6.487405322704896e-39
Individuals using the Internet (% of population),Rule of Law: Estimate,0.7307393216669218,1.6793121269643898e-35
Government Effectiveness: Estimate,Voice and Accountability: Estimate,0.7287249433294252,3.1880270136328246e-35
Individuals using the Internet (% of population),Control of Corruption: Estimate,0.6992305638361315,2.0520116755515545e-31
Current health expenditure per capita (current US$),Control of Corruption: Estimate,0.6918618963082791,1.5561699029555024e-30
Current health expenditure per capita (current US$),Government Effectiveness: Estimate,0.69079065292661,2.078636201827176e-30
Current health expenditure per capita (current US$),Rule of Law: Estimate,0.6803070734503398,3.310378207564274e-29
Current health expenditure per capita (current US$),Regulatory Quality: Estimate,0.6650905343419615,1.5073719991370395e-27
"Population ages 20-24, female (% of female population)",Individuals using the Internet (% of population),-0.6274061422600994,7.837277834928653e-24
"Population ages 20-24, female (% of female population)",Government Effectiveness: Estimate,-0.5899507839569651,1.3069382900965895e-20
"Population ages 20-24, female (% of female population)",Regulatory Quality: Estimate,-0.5740368846414978,2.3055688472492135e-19
Individuals using the Internet (% of population),Current health expenditure per capita (current US$),0.5700988408027623,4.580540622639833e-19
"Population ages 20-24, female (% of female population)",Rule of Law: Estimate,-0.5561127993156323,4.877800425499046e-18
Current health expenditure per capita (current US$),Voice and Accountability: Estimate,0.5544034268767152,6.463945000162697e-18
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Voice and Accountability: Estimate,-0.531324664098638,2.4826419975595542e-16
Individuals using the Internet (% of population),Voice and Accountability: Estimate,0.5069016174736438,8.8141991487164e-15
"Population ages 20-24, female (% of female population)",Current health expenditure per capita (current US$),-0.495065039451714,4.4987510898005554e-14
"Population ages 20-24, female (% of female population)",Control of Corruption: Estimate,-0.49124339904706527,7.514197909714397e-14
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Government Effectiveness: Estimate,-0.46320113154032966,2.6833878433852357e-12
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Control of Corruption: Estimate,-0.44730329215674214,1.7708097417085506e-11
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Rule of Law: Estimate,-0.440250694837718,3.966086972306622e-11
